Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland;
         44;Großenkneten                            ;   52.933597;    8.237038;         43.5;Niedersachsen                           ;
         73;Aldersbach-Kriestorf                    ;   48.615918;   13.050637;          340;Bayern                                  ;
         78;Alfhausen                               ;   52.485314;    7.912553;           65;Niedersachsen                           ;
         91;Alsfeld-Eifa                            ;   50.744591;    9.344972;          300;Hessen                                  ;
        142;Altomünster-Maisbrunn                   ;   48.406036;   11.311694;        510.5;Bayern                                  ;
        150;Alzey                                   ;     49.7273;    8.116356;          215;Rheinland-Pfalz                         ;
        151;Amberg-Unterammersricht                 ;   49.469061;   11.854626;        381.5;Bayern                                  ;
        154;Amerang-Pfaffing                        ;   48.019737;   12.292473;        515.5;Bayern                                  ;
        164;Angermünde                              ;   53.031558;    13.99082;         53.9;Brandenburg                             ;
        183;Arkona                                  ;   54.679109;   13.434416;           42;Mecklenburg-Vorpommern                  ;
        191;Arnstein-Müdesheim                      ;   49.969403;    9.911391;        216.5;Bayern                                  ;
        198;Artern                                  ;   51.374418;   11.291962;        163.9;Thüringen                               ;
        217;Attenkam                                ;   47.877428;   11.364282;          670;Bayern                                  ;
        222;Aue                                     ;   50.590826;   12.713873;          393;Sachsen                                 ;
        232;Augsburg                                ;   48.425292;   10.941681;        461.5;Bayern                                  ;
        257;Baden-Baden-Geroldsau                   ;   48.726985;    8.245738;          240;Baden-Württemberg                       ;
        259;Müllheim                                ;   47.806371;    7.638692;          275;Baden-Württemberg                       ;
        282;Bamberg                                 ;   49.874252;   10.920558;          240;Bayern                                  ;
        294;Barsinghausen-Hohenbostel               ;    52.31985;    9.429984;          110;Niedersachsen                           ;
        298;Barth                                   ;   54.340527;   12.710848;            3;Mecklenburg-Vorpommern                  ;
        314;Kubschütz, Kr. Bautzen                  ;   51.160383;   14.504184;          234;Sachsen                                 ;
        320;Heinersreuth-Vollhof                    ;   49.966617;   11.519843;        349.5;Bayern                                  ;
        330;Oberzent-Beerfelden                     ;   49.561729;    8.967329;          455;Hessen                                  ;
        377;Bergzabern, Bad                         ;   49.107025;    7.996749;          210;Rheinland-Pfalz                         ;
        390;Berleburg, Bad-Stünzel                  ;   50.983713;    8.368331;          610;Nordrhein-Westfalen                     ;
        400;Berlin-Buch                             ;   52.630956;   13.502135;           60;Berlin                                  ;
        403;Berlin-Dahlem (FU)                      ;   52.453711;   13.301731;           51;Berlin                                  ;
        420;Berlin-Marzahn                          ;   52.544744;   13.559789;           61;Berlin                                  ;
        427;Berlin Brandenburg                      ;   52.380702;   13.530576;         45.6;Brandenburg                             ;
        430;Berlin-Tegel                            ;   52.564402;   13.308805;         35.5;Berlin                                  ;
        433;Berlin-Tempelhof                        ;   52.467451;    13.40212;           48;Berlin                                  ;
        445;Bernburg/Saale (Nord)                   ;   51.821792;    11.71098;         84.5;Sachsen-Anhalt                          ;
        460;Berus                                   ;   49.264065;     6.68677;          363;Saarland                                ;
        535;Blankenrath                             ;   50.037229;    7.307861;          417;Rheinland-Pfalz                         ;
        591;Boizenburg                              ;   53.391093;    10.68781;           45;Mecklenburg-Vorpommern                  ;
        596;Boltenhagen                             ;   54.002724;    11.19082;           15;Mecklenburg-Vorpommern                  ;
        656;Braunlage                               ;   51.723383;   10.602109;        607.3;Niedersachsen                           ;
        662;Braunschweig                            ;   52.291469;   10.446448;         81.4;Niedersachsen                           ;
        691;Bremen                                  ;    53.04507;    8.798084;            4;Bremen                                  ;
        701;Bremerhaven                             ;    53.53321;    8.576089;          6.5;Bremen                                  ;
        722;Brocken                                 ;   51.798615;    10.61828;       1134.7;Sachsen-Anhalt                          ;
        755;Buchen, Kr. Neckar-Odenwald             ;   49.518196;     9.32127;          340;Baden-Württemberg                       ;
        757;Buchenbach                              ;    47.96248;    7.998337;          445;Baden-Württemberg                       ;
        817;Burgwald-Bottendorf                     ;   51.030568;    8.814605;          293;Hessen                                  ;
        840;Carlsfeld                               ;   50.431251;   12.611421;        895.3;Sachsen                                 ;
        853;Chemnitz                                ;   50.791286;   12.871977;        416.1;Sachsen                                 ;
        867;Lautertal-Oberlauter                    ;   50.306639;   10.967938;        343.8;Bayern                                  ;
        880;Cottbus                                 ;   51.775922;   14.316796;           69;Brandenburg                             ;
        891;Cuxhaven                                ;   53.871254;    8.705821;            5;Niedersachsen                           ;
        896;Dachwig                                 ;   51.077772;   10.861875;          170;Thüringen                               ;
        917;Darmstadt                               ;   49.880895;    8.677906;          162;Hessen                                  ;
        953;Deuselbach                              ;   49.761875;    7.054249;        480.5;Rheinland-Pfalz                         ;
        963;Diepholz                                ;   52.588112;    8.342405;         37.7;Niedersachsen                           ;
        979;Dillenburg                              ;   50.736371;    8.267238;          314;Hessen                                  ;
        991;Dippoldiswalde-Reinberg                 ;   50.911626;   13.708675;        358.5;Sachsen                                 ;
