Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Baden-Württemberg                       
1,Aach                                    ,   47.841299,    8.849299,478,Baden-Württemberg                       
3,Aachen                                  ,   50.782659,    6.094087,202,Baden-Württemberg                       
73,Aldersbach-Kriestorf                    ,   48.615918,   13.050637,340,Baden-Württemberg                       
78,Alfhausen                               ,   52.485314,    7.912553,65,Baden-Württemberg                       
132,Altglashütte                            ,   49.772498,   12.389068,750,Baden-Württemberg                       
142,Altomünster-Maisbrunn                   ,   48.406036,   11.311694,        510.5,Baden-Württemberg                       
150,Alzey                                   ,     49.7273,    8.116356,215,Baden-Württemberg                       
151,Amberg-Unterammersricht                 ,   49.469061,   11.854626,        381.5,Baden-Württemberg                       
164,Angermünde                              ,   53.031558,    13.99082,         53.9,Baden-Württemberg                       
183,Arkona                                  ,   54.679109,   13.434416,42,Baden-Württemberg                       
186,Arnsberg                                ,   51.377293,    8.071289,        217.9,Baden-Württemberg                       
198,Artern                                  ,   51.374418,   11.291962,        163.9,Baden-Württemberg                       
217,Attenkam                                ,   47.877428,   11.364282,670,Baden-Württemberg                       
232,Augsburg                                ,   48.425292,   10.941681,        461.5,Baden-Württemberg                       
243,Aurich                                  ,   53.462052,    7.466971,4,Baden-Württemberg                       
257,Baden-Baden-Geroldsau                   ,   48.726985,    8.245738,240,Baden-Württemberg                       
259,Müllheim                                ,   47.806371,    7.638692,275,Baden-Württemberg                       
282,Bamberg                                 ,   49.874252,   10.920558,240,Baden-Württemberg                       
314,Kubschütz,   51.160383,   14.504184,234,Baden-Württemberg                       
320,Heinersreuth-Vollhof                    ,   49.966617,   11.519843,        349.5,Baden-Württemberg                       
327,Bederkesa                               ,   53.623437,    8.832253,27,Baden-Württemberg                       
330,Oberzent-Beerfelden                     ,   49.561729,    8.967329,455,Baden-Württemberg                       
355,Bensheim                                ,   49.678889,    8.627617,140,Baden-Württemberg                       
377,Bergzabern,   49.107025,    7.996749,210,Baden-Württemberg                       
379,Berka,   50.907455,   11.266477,304,Baden-Württemberg                       
400,Berlin-Buch                             ,   52.630956,   13.502135,60,Baden-Württemberg                       
403,Berlin-Dahlem (FU)                      ,   52.453711,   13.301731,51,Baden-Württemberg                       
