Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland;
          1;Aach                                    ;   47.841299;    8.849299;          478;Baden-Württemberg                       ;
          2;Aachen (Kläranlage)                     ;   50.806581;    6.099638;          138;Nordrhein-Westfalen                     ;
          3;Aachen                                  ;   50.782659;    6.094087;          202;Nordrhein-Westfalen                     ;
          4;Aachen-Brand                            ;   50.768313;    6.120705;          243;Nordrhein-Westfalen                     ;
          6;Aalen-Unterrombach                      ;   48.836072;   10.059764;          455;Baden-Württemberg                       ;
          7;Aalen-Unterkochen                       ;   48.813993;   10.128509;          473;Baden-Württemberg                       ;
          8;Aarbergen-Panrod                        ;   50.254621;    8.130986;          307;Hessen                                  ;
          9;Aarbergen-Rückershausen                 ;    50.26552;    8.051598;          200;Hessen                                  ;
         10;Abbach,Bad-Dünzling                     ;   48.885697;   12.107925;          378;Bayern                                  ;
         12;Abbensen                                ;   52.381385;   10.185956;           61;Niedersachsen                           ;
         13;Abberode                                ;    51.61538;   11.289199;          300;Sachsen-Anhalt                          ;
         14;Abelitzmoor                             ;     53.5333;         7.5;            9;Niedersachsen                           ;
         15;Abenberg                                ;   49.234641;   10.966676;        391.5;Bayern                                  ;
         16;Abenberg-Wassermungenau                 ;   49.219251;   10.884495;          370;Bayern                                  ;
         17;Abensberg-Sandharlanden                 ;     48.8421;   11.819366;          380;Bayern                                  ;
         18;Abentheuerhütte                         ;       49.65;      7.0833;          420;Rheinland-Pfalz                         ;
         19;Abtsgmünd-Neubronn                      ;   48.879484;    9.970959;          471;Baden-Württemberg                       ;
         20;Abtsgmünd-Untergröningen                ;   48.921939;    9.912859;          432;Baden-Württemberg                       ;
         21;Achberg-Doberatsweiler                  ;   47.610441;    9.698067;        497.5;Baden-Württemberg                       ;
         22;Achern-Fautenbach                       ;   48.631737;    8.046643;          138;Baden-Württemberg                       ;
         23;Achim-Embsen                            ;   53.031114;     9.02329;            8;Niedersachsen                           ;
         24;Achthal                                 ;     47.8333;     12.7833;          582;Bayern                                  ;
         25;Adelberg                                ;     48.7667;         9.6;          474;Baden-Württemberg                       ;
         26;Adelheidsdorf                           ;   52.550265;   10.054374;           41;Niedersachsen                           ;
         27;Adelholzen, Bad                         ;     47.8167;     12.6167;          657;Bayern                                  ;
         28;Adelmannsfelden                         ;   48.953977;   10.006025;          470;Baden-Württemberg                       ;
         29;Adelsdorf (Kläranlage)                  ;   49.717494;   10.910084;          260;Bayern                                  ;
         30;Adelsheim                               ;   49.406422;    9.391409;          260;Baden-Württemberg                       ;
         31;Adendorf                                ;     53.2833;     10.4333;           25;Niedersachsen                           ;
         32;Adenstedt                               ;          52;      9.9333;          194;Niedersachsen                           ;
         33;Aderstedt                               ;    52.02863;   10.999436;           93;Sachsen-Anhalt                          ;
         34;Adolzfurt                               ;     49.1667;        9.45;          220;Baden-Württemberg                       ;
         35;Adorf                                   ;    50.31196;   12.287506;          480;Sachsen                                 ;
         36;Aerzen-Reher                            ;   52.030821;    9.235006;          115;Niedersachsen                           ;
         37;Affing                                  ;   48.461238;   10.979492;          470;Bayern                                  ;
         38;Ahaus (Wieselweg)                       ;   52.090009;    7.009547;           52;Nordrhein-Westfalen                     ;
         39;Ahausen                                 ;   53.058504;    9.309184;           29;Niedersachsen                           ;
         40;Ahlbeck                                 ;   53.667369;   14.182304;            5;Mecklenburg-Vorpommern                  ;
         41;Ahlden-Grethem                          ;   52.735555;    9.566144;           25;Niedersachsen                           ;
         42;Ahlen in Westfalen                      ;   51.773647;    7.873816;           70;Nordrhein-Westfalen                     ;
         43;Ahlen (Falkenberger Moor)               ;        53.7;      8.7833;            3;Niedersachsen                           ;
         44;Großenkneten                            ;   52.933597;    8.237038;         43.5;Niedersachsen                           ;
         45;Ahnatal-Weimar                          ;   51.373997;    9.404187;          298;Hessen                                  ;
         46;Aholfing                                ;   48.945049;   12.463897;          325;Bayern                                  ;
         47;Ahorn-Eubigheim                         ;   49.499712;    9.543886;          338;Baden-Württemberg                       ;
         48;Ahorntal-Kirchahorn                     ;   49.836384;   11.402511;          410;Bayern                                  ;
         50;Ahrendsberg                             ;       51.85;     10.4667;          549;Niedersachsen                           ;
         51;Ahrensbök                               ;     54.0167;     10.5667;           60;Schleswig-Holstein                      ;
         52;Ahrensburg-Wulfsdorf                    ;   53.662339;   10.199036;           46;Schleswig-Holstein                      ;
         53;Ahrensfelde                             ;   52.585015;   13.563378;           60;Brandenburg                             ;
         54;Ahrenshöft                              ;     54.5667;      9.0667;            5;Schleswig-Holstein                      ;
         55;Aibling, Bad-Ellmosen                   ;   47.877845;   12.024043;          508;Bayern                                  ;
         56;Aichach                                 ;       48.45;     11.1333;          444;Bayern                                  ;
         57;Hollenbach/Bayern-Schönbach             ;   48.479933;   11.052112;          461;Bayern                                  ;
         58;Aichstetten                             ;   47.892198;   10.079625;          623;Baden-Württemberg                       ;
         59;Aiglsbach                               ;   48.692916;   11.702185;          405;Bayern                                  ;
         60;Aislingen                               ;    48.50323;   10.459065;          460;Bayern                                  ;
         61;Aiterhofen                              ;   48.844306;   12.617053;          339;Bayern                                  ;
         62;Aitern-Untermulten                      ;   47.819099;    7.856938;         1018;Baden-Württemberg                       ;
         63;Aitrang                                 ;   47.817209;   10.537362;          747;Bayern                                  ;
         64;Aken/Elbe                               ;   51.848811;    12.04913;           55;Sachsen-Anhalt                          ;
         65;Albaching                               ;   48.109386;   12.104938;          513;Bayern                                  ;
         66;Albersdorf                              ;       54.15;      9.2833;           40;Schleswig-Holstein                      ;
         67;Albersrieth                             ;     49.6667;        12.3;          511;Bayern                                  ;
         68;Albrechtshain                           ;   51.301525;   12.569212;          128;Sachsen                                 ;
         69;Albstadt-Burgfelden                     ;   48.241254;    8.932884;          911;Baden-Württemberg                       ;
         70;Albstadt-Ebingen                        ;   48.205158;     9.03707;          712;Baden-Württemberg                       ;
         71;Albstadt-Badkap                         ;    48.21555;    8.978387;          759;Baden-Württemberg                       ;
         72;Albstadt-Onstmettingen                  ;    48.27655;    9.000074;          794;Baden-Württemberg                       ;
         73;Aldersbach-Kriestorf                    ;   48.615918;   13.050637;          340;Bayern                                  ;
