Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Bundesland
755,Buchen,   49.518196,     9.32127,340,Baden-Württemberg                       
1076,Dürrheim,   48.013478,    8.534342,692,Baden-Württemberg                       
1875,Gschwend,   48.935378,    9.736363,492,Baden-Württemberg                       
2158,Herrenalb,   48.804189,    8.443019,350,Baden-Württemberg                       
3257,Mergentheim,   49.477324,    9.762223,        250.5,Baden-Württemberg                       
4094,Weingarten,   47.806248,    9.620579,        440.5,Baden-Württemberg                       
4350,Säckingen,   47.561928,    7.939928,339,Baden-Württemberg                       
4517,Schömberg,   48.785891,    8.645121,635,Baden-Württemberg                       
5174,Urach,   48.495126,    9.400316,471,Baden-Württemberg                       
5559,Wildbad,   48.784843,    8.576383,383,Baden-Württemberg                       
5560,Wildbad,   48.750094,    8.536537,740,Baden-Württemberg                       
1332,Falkenberg,   48.483155,   12.724136,471,Bayern                                  
2597,Kissingen,   50.223991,   10.079245,        281.8,Bayern                                  
2680,Königshofen,   50.284014,   10.445599,        288.5,Bayern                                  
4125,Reichenhall,   47.723835,   12.874037,470,Bayern                                  
2171,Hersfeld,   50.851957,    9.737694,        272.2,Hessen                                  
3164,Cölbe,   50.849234,    8.774517,187,Hessen                                  
3442,Nauheim,   50.357418,    8.750564,        148.5,Hessen                                  
5568,Wildungen,   51.105627,    9.108135,310,Hessen                                  
1873,Grund,   51.795553,   10.237956,300,Niedersachsen                           
2039,Harzburg,   51.900249,   10.569851,201,Niedersachsen                           
1053,Driburg,   51.733655,    9.044538,192,Nordrhein-Westfalen                     
3028,Lippspringe,   51.785416,    8.838795,157,Nordrhein-Westfalen                     
4371,Salzuflen,   52.104207,    8.752053,        134.6,Nordrhein-Westfalen                     
377,Bergzabern,   49.107025,    7.996749,210,Rheinland-Pfalz                         
1072,Dürkheim,   49.471913,    8.192896,107,Rheinland-Pfalz                         
1229,Ems,   50.332412,     7.69745,90,Rheinland-Pfalz                         
3167,Marienberg,   50.662061,    7.960264,        546.7,Rheinland-Pfalz                         
3490,Neuenahr,   50.534561,    7.085337,111,Rheinland-Pfalz                         
4301,Kreuznach,   49.850173,    7.871018,102,Rheinland-Pfalz                         
314,Kubschütz,   51.160383,   14.504184,234,Sachsen                                 
1207,Elster,    50.27046,   12.274171,        557.5,Sachsen                                 
2878,Lauchstädt,    51.39092,   11.878575,        117.4,Sachsen-Anhalt                          
2122,Helse,   53.970098,    9.009522,2,Schleswig-Holstein                      
1410,Frankenhausen/Kyffhäuser,   51.351209,   11.095832,130,Thüringen                               
3,Aachen                                  ,   50.782659,    6.094087,202,Nordrhein-Westfalen                     
44,Großenkneten                            ,   52.933597,    8.237038,         43.5,Niedersachsen                           
52,Ahrensburg-Wulfsdorf                    ,   53.662339,   10.199036,46,Schleswig-Holstein                      
73,Aldersbach-Kriestorf                    ,   48.615918,   13.050637,340,Bayern                                  
78,Alfhausen                               ,   52.485314,    7.912553,65,Niedersachsen                           
142,Altomünster-Maisbrunn                   ,   48.406036,   11.311694,        510.5,Bayern                                  
150,Alzey                                   ,     49.7273,    8.116356,215,Rheinland-Pfalz                         
151,Amberg-Unterammersricht                 ,   49.469061,   11.854626,        381.5,Bayern                                  
164,Angermünde                              ,   53.031558,    13.99082,         53.9,Brandenburg                             
183,Arkona                                  ,   54.679109,   13.434416,42,Mecklenburg-Vorpommern                  
186,Arnsberg                                ,   51.377293,    8.071289,        217.9,Nordrhein-Westfalen                     
193,Arolsen-Neu Berich                      ,   51.384495,    9.082036,232,Hessen                                  
198,Artern                                  ,   51.374418,   11.291962,        163.9,Thüringen                               
217,Attenkam                                ,   47.877428,   11.364282,670,Bayern                                  
232,Augsburg                                ,   48.425292,   10.941681,        461.5,Bayern                                  
243,Aurich                                  ,   53.462052,    7.466971,4,Niedersachsen                           
257,Baden-Baden-Geroldsau                   ,   48.726985,    8.245738,240,Baden-Württemberg                       
259,Müllheim                                ,   47.806371,    7.638692,275,Baden-Württemberg                       
282,Bamberg                                 ,   49.874252,   10.920558,240,Bayern                                  
320,Heinersreuth-Vollhof                    ,   49.966617,   11.519843,        349.5,Bayern                                  
327,Bederkesa                               ,   53.623437,    8.832253,27,Niedersachsen                           
