Stations_id,Stationsname,geogr. Breite,geogr. Laenge,Stationshoehe,Bundesland
755,Buchen,   49.518196,     9.32127,340,Baden-Württemberg                       
1076,Dürrheim,   48.013478,    8.534342,692,Baden-Württemberg                       
1875,Gschwend,   48.935378,    9.736363,492,Baden-Württemberg                       
2158,Herrenalb,   48.804189,    8.443019,350,Baden-Württemberg                       
2996,Liebenzell,   48.772592,    8.728709,352,Baden-Württemberg                       
3257,Mergentheim,   49.477324,    9.762223,        250.5,Baden-Württemberg                       
4094,Weingarten,   47.806248,    9.620579,        440.5,Baden-Württemberg                       
4189,Altheim,   48.147903,    9.459615,        533.5,Baden-Württemberg                       
4350,Säckingen,   47.561928,    7.939928,339,Baden-Württemberg                       
4517,Schömberg,   48.785891,    8.645121,635,Baden-Württemberg                       
5174,Urach,   48.495126,    9.400316,471,Baden-Württemberg                       
5559,Wildbad,   48.784843,    8.576383,383,Baden-Württemberg                       
5609,Winterbach,   48.803087,    9.469902,241,Baden-Württemberg                       
1332,Falkenberg,   48.483155,   12.724136,471,Bayern                                  
2597,Kissingen,   50.223991,   10.079245,        281.8,Bayern                                  
2680,Königshofen,   50.284014,   10.445599,        288.5,Bayern                                  
2708,Kohlgrub,   47.665187,   11.080459,742,Bayern                                  
4125,Reichenhall,   47.723835,   12.874037,470,Bayern                                  
4813,Staffelstein,   50.080557,   11.046648,        317.5,Bayern                                  
5063,Tölz,   47.756622,   11.581916,724,Bayern                                  
5398,Weidenbach,   49.196452,   10.648729,425,Bayern                                  
5488,Mühlhausen,   49.962162,   10.048207,216,Bayern                                  
5890,Kohlgrub,   47.677728,   11.047292,850,Bayern                                  
15965,Brückenau,   50.310221,    9.783842,350,Bayern                                  
2171,Hersfeld,   50.851957,    9.737694,        272.2,Hessen                                  
3164,Cölbe,   50.849234,    8.774517,187,Hessen                                  
3442,Nauheim,   50.357418,    8.750564,        148.5,Hessen                                  
4586,Schwalbach,   50.139434,    8.062697,320,Hessen                                  
4765,Sooden-Allendorf,   51.279992,    9.984737,199,Hessen                                  
5568,Wildungen,   51.105627,    9.108135,310,Hessen                                  
1000,Doberan,   54.144194,   11.845364,3,Mecklenburg-Vorpommern                  
2039,Harzburg,   51.900249,   10.569851,201,Niedersachsen                           
2323,Bevern,    51.85294,    9.495274,110,Niedersachsen                           
4288,Rothenfelde,   52.103832,    8.180841,95,Niedersachsen                           
4347,Sachsa,   51.590937,   10.569098,292,Niedersachsen                           
4841,Steinau,   53.694589,    8.873515,1,Niedersachsen                           
386,Berleburg,   51.045431,    8.385144,445,Nordrhein-Westfalen                     
390,Berleburg,   50.983713,    8.368331,610,Nordrhein-Westfalen                     
1053,Driburg,   51.733655,    9.044538,192,Nordrhein-Westfalen                     
3028,Lippspringe,   51.785416,    8.838795,157,Nordrhein-Westfalen                     
4371,Salzuflen,   52.104207,    8.752053,        134.6,Nordrhein-Westfalen                     
4401,Sassendorf,   51.633364,     8.18717,81,Nordrhein-Westfalen                     
377,Bergzabern,   49.107025,    7.996749,210,Rheinland-Pfalz                         
1072,Dürkheim,   49.471913,    8.192896,107,Rheinland-Pfalz                         
1073,Dürkheim,   49.468611,    8.179684,115,Rheinland-Pfalz                         
1229,Ems,   50.332412,     7.69745,90,Rheinland-Pfalz                         
3167,Marienberg,   50.662061,    7.960264,        546.7,Rheinland-Pfalz                         
3490,Neuenahr,   50.534561,    7.085337,111,Rheinland-Pfalz                         
4301,Kreuznach,   49.850173,    7.871018,102,Rheinland-Pfalz                         
314,Kubschütz,   51.160383,   14.504184,234,Sachsen                                 
1207,Elster,    50.27046,   12.274171,        557.5,Sachsen                                 
1709,Gottleuba,     50.8496,     13.9392,360,Sachsen                                 
3426,Muskau,   51.565979,    14.70081,127,Sachsen                                 
1074,Dürrenberg,   51.304321,   12.080985,103,Sachsen-Anhalt                          
2701,Kösen,   51.132938,   11.725242,136,Sachsen-Anhalt                          
2878,Lauchstädt,    51.39092,   11.878575,        117.4,Sachsen-Anhalt                          
4939,Suderode,     51.7333,     11.1167,235,Sachsen-Anhalt                          
2122,Helse,   53.970098,    9.009522,2,Schleswig-Holstein                      
