STATIONS_ID;MESS_DATUM;QN;RS_01;RS_IND_01;eor
         73;202303310000;    2;   0.00;-999;eor
         73;202303310001;    2;   0.00;-999;eor
         73;202303310002;    2;   0.00;-999;eor
         73;202303310003;    2;   0.00;-999;eor
         73;202303310004;    2;   0.00;-999;eor
         73;202303310005;    2;   0.00;-999;eor
         73;202303310006;    2;   0.00;-999;eor
         73;202303310007;    2;   0.00;-999;eor
         73;202303310008;    2;   0.00;-999;eor
         73;202303310009;    2;   0.00;-999;eor
         73;202303310010;    2;   0.00;-999;eor
         73;202303310011;    2;   0.00;-999;eor
         73;202303310012;    2;   0.00;-999;eor
         73;202303310013;    2;   0.00;-999;eor
         73;202303310014;    2;   0.00;-999;eor
         73;202303310015;    2;   0.00;-999;eor
         73;202303310016;    2;   0.00;-999;eor
         73;202303310017;    2;   0.00;-999;eor
         73;202303310018;    2;   0.00;-999;eor
         73;202303310019;    2;   0.00;-999;eor
         73;202303310020;    2;   0.00;-999;eor
         73;202303310021;    2;   0.00;-999;eor
         73;202303310022;    2;   0.00;-999;eor
         73;202303310023;    2;   0.00;-999;eor
         73;202303310024;    2;   0.00;-999;eor
         73;202303310025;    2;   0.00;-999;eor
         73;202303310026;    2;   0.00;-999;eor
         73;202303310027;    2;   0.00;-999;eor
         73;202303310028;    2;   0.00;-999;eor
         73;202303310029;    2;   0.00;-999;eor
         73;202303310030;    2;   0.00;-999;eor
         73;202303310031;    2;   0.00;-999;eor
         73;202303310032;    2;   0.00;-999;eor
         73;202303310033;    2;   0.00;-999;eor
         73;202303310034;    2;   0.00;-999;eor
         73;202303310035;    2;   0.00;-999;eor
         73;202303310036;    2;   0.00;-999;eor
         73;202303310037;    2;   0.00;-999;eor
         73;202303310038;    2;   0.00;-999;eor
         73;202303310039;    2;   0.00;-999;eor
         73;202303310040;    2;   0.00;-999;eor
         73;202303310041;    2;   0.00;-999;eor
         73;202303310042;    2;   0.00;-999;eor
         73;202303310043;    2;   0.00;-999;eor
         73;202303310044;    2;   0.00;-999;eor
         73;202303310045;    2;   0.00;-999;eor
         73;202303310046;    2;   0.00;-999;eor
         73;202303310047;    2;   0.00;-999;eor
         73;202303310048;    2;   0.00;-999;eor
         73;202303310049;    2;   0.00;-999;eor
         73;202303310050;    2;   0.00;-999;eor
         73;202303310051;    2;   0.00;-999;eor
         73;202303310052;    2;   0.00;-999;eor
         73;202303310053;    2;   0.00;-999;eor
         73;202303310054;    2;   0.00;-999;eor
         73;202303310055;    2;   0.00;-999;eor
         73;202303310056;    2;   0.00;-999;eor
         73;202303310057;    2;   0.00;-999;eor
         73;202303310058;    2;   0.00;-999;eor
         73;202303310059;    2;   0.00;-999;eor
         73;202303310100;    2;   0.00;-999;eor
         73;202303310101;    2;   0.00;-999;eor
         73;202303310102;    2;   0.00;-999;eor
         73;202303310103;    2;   0.00;-999;eor
         73;202303310104;    2;   0.00;-999;eor
         73;202303310105;    2;   0.00;-999;eor
         73;202303310106;    2;   0.00;-999;eor
         73;202303310107;    2;   0.00;-999;eor
         73;202303310108;    2;   0.00;-999;eor
         73;202303310109;    2;   0.00;-999;eor
         73;202303310110;    2;   0.00;-999;eor
         73;202303310111;    2;   0.00;-999;eor
         73;202303310112;    2;   0.00;-999;eor
         73;202303310113;    2;   0.00;-999;eor
         73;202303310114;    2;   0.00;-999;eor
         73;202303310115;    2;   0.00;-999;eor
         73;202303310116;    2;   0.00;-999;eor
